策略模块,参数名,最优值,说明
信号生成,5策略融合,放量突破(30%) + 量价背离(20%) + 抄底(20%) + 主力建仓(15%) + 均线粘合(15%),5个独立策略加权融合，融合分0-50
信号生成,融合分门槛,20.0,融合分≥20才产生买入信号
入场规则,买入时机,信号日次日Open价,T+1规则，信号日标记→次日开盘价成交
入场规则,滑点,千一(0.1%),买入价 = Open × 1.001
入场规则,仓位,100%,满仓单股（动态仓位可基于ATR调整）
出场规则,止损,-7%,买入价 × 0.93，跌破即止损
出场规则,止盈,+15%,买入价 × 1.15，涨超即止盈
出场规则,超期平仓,40天,持仓满40天强制平仓
出场规则,卖出信号,SELL_SIGNAL,策略产生卖出信号时平仓
风控规则,回撤熔断,启用,回撤≥10%或连续亏损≥3次→暂停开仓
风控规则,大盘择时,关闭,当前未启用（需index_close列）
风控规则,动态仓位,启用,基于ATR波动率反比调整仓位
费用模型,手续费,万三(0.03%),双向，最低5元
费用模型,印花税,千一(0.1%),卖出单向
费用模型,滑点,千一(0.1%),买入+卖出各千一
